,,,,Balance Socore  ,,,,,,,,,,,,,"93,1 Pts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Monday, August 24, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8/24/2026,,,,,,,,,,,,,,,,,,,,3/1/2026,567.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Obj,Real ,,,,,,,,,Obj,Real ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,
,VENTAS,,,,,,Pts ,50,47.31,,POSTVENTA,,,,,,Pts ,30,28.56,,,,,,,,,,,,,,,,,,,,,,,,,Día,% Acum sugerido,,Modelo,Promedio,Peso,Contribución,Aporte Esperado ,,,,40
,Iteam,Pts ,Objetivo ,Real ,Deberia,Proyeccion ,% Cump,Data ,Pts Obt,,Iteam ,Pts,Objetivo ,Real,Deberias ,Proyeccion,% Cump,Data ,Pts Obt,,,,,,,,,,,,,,,,,,,,,,,,,1,0%,,GS8,"68,599.00",20%,"13,855.81",20%," 13,719.80 ",,,0.75
,,50,47.31,,,,,95%,,,,30,28.56,,,,,95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GN8,"70,198.00",2%,"1,739.73",3%," 2,105.94 ",,,
,Numero de ventas,10,9.72,,,,,97%,,,UB,8," 224,859.60 "," 191,323.72 "," 224,859.60 "," 191,324.00 ",85%,100%,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,40,41,40,41,103%,100%,9.72,,No. Ord,3,123,184,123, 184 ,150%,131,3.00,,,,,,,,,,,,,,,,,,,,,,,,,2,1%,,EMZOOM,"40,734.00",53%,"21,452.23",40%," 16,293.60 ",,,
,Credito,5,32,34,32,34,106%,77.55%,5.00,,Retencion,5,80%,78.6%,78%,79%,101%,78.6,4.92,,,,,,,,,,,,,,,,,,,,,,,,,3,2%,,EMKOO,"58,006.00",15%,"8,912.94",25%," 14,501.50 ",,,
,contado,2,8,7,8,7,88%,20.29%,1.75,,CSI,3,95%,90%,90%,90%,100%,90%,2.84,,,,,,,,,,,,,,,,,,,,,,,,,4,4%,,AION,"50,615.00",4.1%,"2,069.76",5%," 2,530.75 ",,,
,% RDC ,3,95%,94%,539%,17%,17%,90%,2.97,,RDC ,7,95%,99%,539%,17%,18%,85%,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mix (Producto),8,5.61,,,,,70%,,,Citas,4,138,139,138.00,139.00,101%,130,4.00,,,,,,,,,,,,,,,,,,,,,,,,,5,4%,,GS4,"57,078.00",5.2%,"2,970.60",7%," 3,995.46 ",,,
,EMZOOM,2,22,14,22,14,64%,52.7%,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4%,,,,,,,,,,
,AION ,0,2,5,2,5,250%,4.1%,0.00,,,,,,,,,Obj,Real ,,,,,,,,,,,,,,,,,,,,,,,,,7,7%,,Resultado Final,,,"51,001.07",,"53,147.05",,,
,EMKOO,2,7,14,7,14,200%,15.4%,2.00,,OTROS,,,,,,Pts ,20,17.20,,,,,,,,,,,,,,,,,,,,,,,,,8,8%,,,,,,,,,,
,GS4,2,3,5,3,5,167%,5.2%,2.00,,Iteam ,Pts,Objetivo ,Real,Deberias ,Proyeccion,% Cump,Data ,Pts Obt,,,,,,,,,,,,,,,,,,,,,,,,,9,12%,,,,,,,,,,
,GN8,1,1,0,1,0,0%,2.5%,0.00,,,20,17.20,,,,,86%,,,,,,,,,,,,,,,,,,,,,,,,,,10,17%,,,,,,,,,,
,GS8,1,9,3,9,3,33%,20.2%,0.33,,% Autorizaciones,5,45%,48.24%,38.22%,57%,126%,28.71%,5.00,,,,,,,,,,,,,,,,,,,,,,,,,11,20%,,,,,,,,,,
,Margen Promedio ,3,"51,001.07"," 49,500.00 ","51,001.07"," 49,500.00 ",97%,"51,001.07",2.91,,Salesforce ,4,100%,30%,80%,85%,38%,100%,1.20,,,,,,,,,,,,,,,,,,,,,,,,,12,22%,,,,,,,,,,
,Ritmo de ventas,6,5.74,,,,,96%,,,CDK ,4,80%,80%,80%,85%,100%,80%,4.00,,,,,,,,,,,,,,,,,,,,,,,,,13,22%,,,,,,,,,,
,1er Ritmo ,2,10,10,10,N/A,100%,25%,2.00,,Flotas,7,5,7,29,121%,24%,5,7.00,,,,,,,,,,,,,,,,,,,,,,,,,14,25%,,,,,,,,,,
,2do Ritmo ,2,18,17,18,N/A,94%,45%,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,31%,,,,,,,,,,
,3er Ritmo,2,26,24,26,N/A,92%,65%,1.85,,Proyeccion a Cierre ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,31%,,,,,,,,,,
,Antigüedad de inventario,5,0.00,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,35%,,,,,,,,,,
,No mayor a 180  dias,5,4%,,,4%, - ,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,40%,,,,,,,,,,
,CSI ventas,5,95%,95%,95%,100%,100%,98%,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,43%,,,,,,,,,,
,Aporte por canal ,10,8.62,,,,,86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,43%,,,,,,,,,,
,Ventas Plaza,2,8,7,8,7,88%,19.49%,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,53%,,,,,,,,,,
,Ventas Digital,2,9,11,9,11,122%,21.38%,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,58%,,,,,,,,,,
,Ventas Piso,3,10,8,10,8,80%,24.05%,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,65%,,,,,,,,,,
,Conversion,3,5.28%,4.34%,0%,, - ,5.28%,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,75%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,84%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,86%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,86%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,90%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,95%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,98%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,100%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
