Nov-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1RA SEMANA,,,,,,,,,,2DA SEMANA,,,,,,,,,,3RA SEMANA,,,,,,,,,,4TA SEMANA,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,,,,8,9,10,11,12,13,14,,,,15,16,17,18,19,20,21,,,,22,23,24,25,26,27,28,29,30,,,,,,,,
CAMPAÑA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMULARIO ANGELÓPOLIS,6,5,5,2,6,3,4,FORMULARIOS,31,,10,4,5,10,5,7,1,FORMULARIOS,42,,3,2,0,4,1,1,3,FORMULARIOS,14,,4,2,0,4,6,1,2,2,4,FORMULARIOS,19,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHATSAPP ANGELÓPOLIS,1,5,9,6,9,8,12,CONVERSACIONES,50,,7,12,10,2,4,10,0,CONVERSACIONES,45,,1,1,1,1,14,9,7,CONVERSACIONES,34,,9,28,9,3,2,5,1,1,3,CONVERSACIONES,24,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHATSAPP ASESORES TLAXCALA,0,3,2,2,3,3,4,CONVERSACIONES,17,,2,4,1,7,6,7,1,CONVERSACIONES,28,,5,1,2,3,5,1,0,CONVERSACIONES,17,,2,5,1,2,0,0,0,1,2,CONVERSACIONES,6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHATSAPP ASESORES ANGELÓPOLIS,10,21,9,20,16,15,13,CONVERSACIONES,104,,12,15,13,12,16,25,11,CONVERSACIONES,104,,22,11,21,14,13,22,13,CONVERSACIONES,116,,15,30,16,7,10,17,6,11,11,CONVERSACIONES,78,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMULARIO TLAXCALA,3,6,6,4,8,4,6,FORMULARIOS,37,,7,6,4,6,5,4,1,FORMULARIOS,33,,1,2,4,1,1,0,3,FORMULARIOS,12,,2,0,2,1,2,0,1,1,5,FORMULARIOS,12,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,239,,,,,,,,,,252,,,,,,,,,,193,,,,,,,,,,,,139,,,,,,
CAMPAÑAS ADICIONALES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THRUPLAY,43990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,,,,,,,
SEGUIDORES TLAXCALA,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEGUIDORES ANGELÓPOLIS,2838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
